id,name,parent_id
341, کوٹ مٹھن سب تحصیل,238
342, روجھان سب تحصیل,239
343, عمر کوٹ سب تحصیل,239
344, چوک سرور شہید سب تحصیل,240
345, دائرہ دین پنا ہ سب تحصیل,241
346, سنانواں سب تحصیل,241
347, قصبہ گجرات سب تحصیل,241
348, کوٹ ادو سب تحصیل,241
349, چوبارا سب تحصیل,242
350, فتح پور سب تحصیل,243
351, کروڑ لعل عیسن سب تحصیل,243
352, پیر جگی شریف  سب تحصیل,244
353, جمن شاہ  سب تحصیل,244
354, لیہ سب تحصیل,244
355, جتوئی سب تحصیل,245
356, شہر سلطان سب تحصیل,245
357, خیر پور سب تحصیل,246
358, سیت پور سب تحصیل,246
359, علی پور سب تحصیل,246
360, چوک قریشی سب تحصیل,247
361, خان پور سب تحصیل,247
362, خان گڑھ سب تحصیل,247
363, روہیلانوالی سب تحصیل,247
364, شاہ جمال سب تحصیل,247
365, مظفر گڑھ سب تحصیل,247
366, اٹک اطراف,248
367, اٹک سٹی,248
368, پنڈی گھیپ  اطراف,249
369, پنڈی گھیپ سٹی,249
370, کھوڑ,249
371, پنڈ سلطانی,250
372, جنڈ شہر,250
373, سگرائی /ڈومیل,250
374, لنگر,250
375, مکھڈ,250
376, حسن ابدال,251
377, سلطان پور,251
378, حضرو شہر,252
379, حضرواطراف,252
380, کامرہ,252
381, اٹک روڈ,253
382, باہتر,253
383, پنڈی روڈ,253
384, جبی ,253
385, فتح جنگ سٹی,253
386, قطبال,253
387, کھوڑ روڈ,253
388, کوہاٹ روڈ,253
389, واہ کینٹ روڈ,253
390, تھوہا محرم خان,254
391, ٹمن,254
392, کوٹ سارنگ,254
393, لاوہ,255
394, پنڈدادنخان,256
395, پننوال,256
396, للہہ شریف,256
397, جہلم سٹی,257
398, چک دولت,257
399, سنگھوائی,257
400, دینہ,258
401, نکودر,258
402, ڈومیلی,259
403, سوہاوہ,259
404, اوڈھروال,260
405, بھگوال,260
406, خان پور ,260
407, ڈھڈیال,260
408, چواء سیدن شاہ,261
409, کلر کہار,262
410, جھٹہ ہتھیال,263
411, چک بیلی خان,263
412, چکری,263
413, ٹیکسلا,264
414, واہ کینٹ,264
415, چوک پنڈوڑی ,265
416, سرصوبہ شاہ ,265
417, کلرسیداں MC,265
418, کہوٹہ,266
419, لڑھ,266
420, مٹور,266
421, بیول,267
422, دولتالہ,267
423, گوجر خان,267
424, مندرہ,267
425, ڈھوک چوہدریاں سب ٹاؤن,268
426, گلزار قائد سب ٹاؤن,268
427, گلستان کالونی سب ٹاؤن,268
428, چکالہ کینٹ,269
429, سب ٹاؤن-3لال کرتی,269
430, سب ٹاؤن-4دھمیال,269
431, سب ٹاؤن اڈیالہ,269
432, سب ٹاؤن سکیم -3,269
433, پنڈرہ,270
434, پیرودھائی,270
435, خیابان,270
436, ڈھوک حسو,270
437, راجہ بازار,270
438, سب ٹاؤن 1,271
439, سب ٹاؤن2,271
440, سب ٹاؤن3,271
441, جھنڈا چیچی,272
442, ڈھوک کالا خان,272
443, شکریال,272
444, گلاس فیکٹری,272
445, گنگال,272
446, مسلم ٹاؤن,272
447, کوٹلی ستیاں,273
448, پوٹھہ شریف,274
449, کمپنی باغ,274
450, مری مال روڈ,274
451, نیو مری,274
452, 39/3R,275
453, 49/2ایل,275
454, بنگلہ گوگیرہ,275
455, خان کالونی ,275
456, ستگھرہ,275
457, صمدپورہ ,275
458, گیمبر,275
459, لاشاریاں,275
460,  راجووال,276
461, بصیر پور,276
462, بھومن شاہ ,276
463, چورستہ 38ڈی   سب تحصیل ,276
464, حجرہ شاہ مقیم ,276
465, حویلی  سب تحصیل,276
466, دیپالپور,276
467, شیر گڑھ ,276
468, منڈی احمد آباد ,276
469, اخترآباد,277
470, اڈا کسان والا,277
471, باماں بالا,277
472, رینالہ سٹی,277
473, بنگہ حیات,278
474, پرانا تھانہ,278
475, سٹی پاکپتن,278
476, فرید کوٹ,278
477, ملکہ ہانس,278
478, نور پور,278
479, اطراف عارف والا,279
480, رنگ شاہ,279
481, سب تحصیل ترکھنی,279
482, سب تحصیل چوک مرلے,279
483, سب تحصیل قبولہ شریف,279
484, سب تحصیل محمد نگر,279
485, عارف والا سٹی ,279
486, 90موڈ,280
487, اڈہ کھوئیاں,280
488, اقبال نگر سب تحصیل,280
489, اوکانوالہ بنگلہ,280
490, چیچہ وطنی,280
491, غازی آباد,280
492, کسوال,280
493, اڈاکمیر,281
494, اڈہ بوٹی پال,281
495, ساہیوال مکی,281
496, ظفر آباد,281
497, کوٹ خادم علی شاہ ,281
498, نورشاہ ,281
499, ہڑپہ ,281
500, یوسف والا,281
501, ایم سی بھکر,282
502, بھکر اطراف,282
503, چکوک اطراف,282
504, چھینہ بہل,282
505, مسلم کوٹ,282
506, برکت والا,283
507, دریا خان,283
508, دلےوالا,283
509, کہاوڑکلاں,283
510, جنڈانوالہ,284
511, شاہ عالم,284
512, کلور کوٹ ایم سی,284
513, مصطفی آباد,284
514, 67 ایم ایل,285
515, حیدرآباد,285
516, سب تحصیل منکرہ,285
517, کارلووالا,285
518, جوہر آباد,286
519, خوشاب,286
520, کھٹہ,286
521, گروٹ سب  تحصیل,286
522, مٹھہ ٹوانہ,286
523, سب تحصیل شمالی,287
524, سب تھصیل جنوبی,287
525, نور پور تھل سب تحصیل,288
526, نوشہرہ سب تحصیل,289
527, پرانا بھلوال,290
528, پھلروان,290
529, دیووال,290
530, میونسپل بھلوال,290
531, چک مبارک,291
532, سب تحصیل حضور پور,291
533, میانی,291
534, میونسپل بھیرہ,291
535, M C ساہیوال,292
536, فروکہ,292
537, نہنگ,292
538, وجھ,292
539,  لک موڑ,293
540, 45چکSB,293
541, 92چکNB,293
542, بھاگٹانوالہ,293
543, سب تحصیل 30چک جنوبی,293
544, سب تحصیل دھریمہ,293
545, مٹھہ لک,293
546, اطراف سلانوالی,294
547, سوبھاگا,294
548, شاہین آباد,294
549, میونسپل سلانوالی,294
550, جھاوریاں,295
551, چکڑالہ,295
552, شاہ پور سٹی,295
553, شاہ پور صدر,295
554, بھابڑہ,296
555, سیال موڑ,296
556, مڈھ رانجھا,296
557, معظم آباد,296
558, میونسپل کوٹ مومن,296
559, سب ایریا سٹی,297
560, سبھروال کالونی,297
561,  سب  ٹاؤن  سیٹلائیٹ ٹاؤن,298
562, اسلام پورہ,298
563, فیکٹری ایریا,299
564, 49 ٹیل,300
565, سوہنی پورہ,300
566, پپلاں,301
567, کندیاں,301
568, ہرنولی,301
569, عیسیٰ خیل,302
570, کالا باغ,302
571, کمر مشانی,302
572, داؤد خیل,303
573, موچھ,303
574, موسی خیل,303
575, میانوالی سب تحصیل,303
576, وادئ نمل,303
577, واں بچھراں,303
578, سب تحصیل چھوٹا اڈا شرقپور,304
579, سب تحصیل غازی پور,304
580, سب تحصیل کوٹ محمود,304
581, سب تحصیل مورانوالہ,304
582, سب تحصیل بھکی,305
583, سب تحصیل جنڈیالہ روڈ,305
584, سب تحصیل جنڈیالہ شیر خان,305
585, سب تحصیل خالد روڈ,305
586, سب تحصیل خان پور,305
587, سب تحصیل سٹی شیخوپورہ,305
588, سب تحصیل گوجرانوالہ روڈ,305
589, سب تحصیل نیو سو سائٹیز,305
590, سب تحصیل ہاؤسنگ کالونی,305
591,  سب تحصیل خانقاہ ڈوگراں,306
592,  سب تحصیل صفدر آباد,306
593, سب تحصیل اجنیانوالہ,306
594, سب تحصیل بہالیکے,306
595, سب تحصیل فاروق آباد,306
596, سب تحصیل فیضان جامعۃالمدینہ,306
597,  سب تحصیل فیروز والا,307
598,  سب تحصیل کوٹ عبدالمالک,307
599, سب تحصیل رانا ٹاؤن,307
600, سب تحصیل ونڈالہ,307
601, سب تحصیل راوی ریان,308
602, سب تحصیل مریدکے سٹی,308
603, سب تحصیل نارنگ,308
604, سب تحصیل بہڑوال,309
605, سب تحصیل پھولنگر,309
606, سب تحصیل جمبر,309
607, سب تحصیل حبیب آباد,309
608, سب تحصیل سرائے مغل,309
609, سب تحصیل فیضان مدینہ پتوکی,309
610, سب تحصیل نتھے دینا ناتھ,309
611, سب تحصیل اطراف کنگن پور,310
612, سب تحصیل الہ آباد,310
613, سب تحصیل بہڑوال,310
614, سب تحصیل تلونڈی,310
615, سب تحصیل چونیاں ,310
616, سب تحصیل کنگن پور سٹی,310
617, سب تحصیل  بیرون قصور,311
618, سب تحصیل بھسر پورہ,311
619, سب تحصیل سہجرہ,311
620, سب تحصیل شیخم,311
621, سب تحصیل قادر آباد,311
622, سب تحصیل کھڈیاں خاص,311
623, سب تحصیل گلبرگ سٹی قصور,311
624, سب تحصیل للیانی,311
625, سب تحصیل منڈی عثمان والا,311
626, سب تحصیل نور  پور,311
627, سب تحصیل بھمبہ,312
628, سب تحصیل بھوئے آصل,312
629, سب تحصیل چھانگا مانگا,312
630, سب تحصیل راجہ جنگ,312
631, سب تحصیل کوٹ رادھا کشن,312
632, سب تحصیل گھنیکی,312
633, سب تحصیل ہندال,312
634, سب تحصیل سانگلہ ہل1,313
635, سب تحصیل سانگلہ ہل2,313
636, سب تحصیل شاہکوٹ1,314
637, سب تحصیل شاہکوٹ2,314
638, سب تحصیل فیروز وٹواں,314
639, سب تحصیل مانانوالہ,314
640, سب تحصیل واربرٹن ,314
641, سب تحصیل بچیکی 1,315
642, سب تحصیل سید والا,315
643, سب تحصیل منڈی فیض آباد,315
644, سب تحصیل موڑکھنڈا ,315
645, سب تحصیل ننکانہ1,315
646, سب تحصیل نگران پیر محل اطراف,316
647, سب تحصیل نگران پیر محل سٹی,316
648, سندھیلیانوالی,316
649, صاحب لولاک,316
650, غوثیہ آباد,316
651, ٹوبہ,317
652, جھنگ روڈ ٹوبہ,317
653, رجانہ,317
654, شورکوٹ روڈ ٹوبہ,317
655, گوجرہ روڈ ٹوبہ,317
656, جھکڑ,318
657, چیچہ وطنی روڈ,318
658, کمالیہ سٹی,318
659, پینسرہ روڈ,319
660, جھنگ روڈ,319
661, گوجرہ سٹی,319
662, موچی والا روڈ,319
663, مونگی روڈ,319
664, نیالاہور,319
665, 18ہزاری,320
666, سب تحصیل نگران کوٹ شاکر,320
667, سب تحصیل احمد پور سیال,321
668, سب تحصیل نگران گڑھ موڑ,321
669, شریف آباد,321
670, گڑھ موڑ,321
671,   چنڈ بھروانہ,322
672,   کھیوہ,322
673,  شاہ جیونہ,322
674, باغ,322
675, جھنگ سٹی,322
676, سب تحصیل نگران گوجرہ روڑ,322
677, گوجرہ روڈ سب تحصیل,322
678, گوجرہ موڑ,322
679, سب تحصیل نگران ککی نو,323
680, شورکوٹ سٹی,323
681, شورکوٹ کینٹ,323
682, وریام والا,323
683, امین پوربنگلہ,324
684, بھوانہ سٹی,324
685, پینسرہ روڈ بھوانہ,324
686, چنیوٹ,325
687, فیصل آباد روڈ,325
688, لاہورروڈ,325
689, جھنگ روڈ لالیاں,326
690, فیصل آباد روڈلالیاں,326
691, کانڈیوال روڈ,326
692, لالیاں سٹی,326
693, تاندلیانوالہ سٹی,327
694, گڑھ فتح شاہ,327
695, ماموں کانجن,327
696, 240موڑ,328
697, اڈہ اوگت,328
698, اڈہ جوہل,328
699, اڑکانہ,328
700, بچیانہ,328
701, جڑانوالہ,328
702, سب تحصیل نگران 61چک,328
703, سب تحصیل نگران اڈاچکوموڑ,328
704, ستیانہ,328
705, علی پور بنگلہ,328
706, مکوآنہ,328
707, رجانہ روڈسمندری,329
708, سمندری سٹی,329
709, فیصل آبادروڈسمندری,329
710, گوجرہ روڈسمندری,329
711, امین پور روڈ,330
712, پینسرہ روڈ,330
713, ڈجکو ٹ ,330
714, ریسالیوالہ,330
715, سب تحصیل دیال گڑھ,330
716, سدھار,330
717, سرگودھا روڈ ,330
718, ملت روڈ,330
719, الہی آباد  سب ٹاؤن,581
720, خانوآنہ جھال,581
721, ڈی ٹائپ کالونی,581
722, ڈی گراؤنڈ,581
723, سب ٹاؤن مکوانہ,581
724, سرفراز کالونی سب ٹاؤن,581
725, سب ٹاؤن سید ٹاؤن,496
726, سب ٹاؤن نگران ایوب کالونی,496
727, سمن آبادسب ٹاؤن ,496
728, سیف آباد,496
729, شہبازٹاؤن,496
730,  گھڑتل کلاں,333
731, جھمرہ سٹی,333
732, رضا آباد,334
733, سب ٹاؤن باوا چک,334
734, سدھوپورہ,334
735, سرگودھا روڈ ,334
736, غلام محمدآباد,334
737, سب ٹاؤن نگران بلال نگر,335
738, کھرڑیانوالہ,335
739, گلستان کالونی,335
740, مدینہ ٹاؤن ,335
741, ملت روڈ,335
742, منصورآباد,335
743, سب تحصیل پنڈی بھٹیاں 1,336
